0,date,time,open,high,low,close,volume,state
1,2021.01.04,00:00,140.685,140.914,140.664,140.889,177,1
2,2021.01.04,00:15,140.889,141.061,140.864,140.962,196,1
3,2021.01.04,00:30,140.962,140.962,140.862,140.902,262,-1
4,2021.01.04,00:45,140.902,140.986,140.902,140.94,102,1
5,2021.01.04,01:00,140.958,141.118,140.954,141.106,1616,1
6,2021.01.04,01:15,141.106,141.21,141.077,141.189,1317,1
7,2021.01.04,01:30,141.187,141.315,141.162,141.284,1186,1
8,2021.01.04,01:45,141.284,141.305,141.221,141.245,1466,-1
9,2021.01.04,02:00,141.251,141.278,140.991,141.008,2970,-1
10,2021.01.04,02:15,141.008,141.03,140.905,140.913,2562,-1
11,2021.01.04,02:30,140.913,140.913,140.78,140.832,2462,-1
12,2021.01.04,02:45,140.832,140.983,140.824,140.913,3300,1
13,2021.01.04,03:00,140.911,141.005,140.902,140.987,2654,1
14,2021.01.04,03:15,140.986,141.1,140.957,141.087,2291,1
15,2021.01.04,03:30,141.087,141.1,141.016,141.071,2008,-1
16,2021.01.04,03:45,141.07,141.076,140.993,141.002,1803,-1
17,2021.01.04,04:00,141.001,141.081,140.962,141.051,2076,1
18,2021.01.04,04:15,141.052,141.085,140.97,141.006,1675,-1
19,2021.01.04,04:30,141.005,141.032,140.958,140.991,1492,-1
20,2021.01.04,04:45,140.99,141.048,140.968,141.006,1421,1
21,2021.01.04,05:00,141.006,141.044,140.993,141.031,1196,1
22,2021.01.04,05:15,141.032,141.046,141.008,141.03,811,-1
23,2021.01.04,05:30,141.029,141.031,140.974,140.979,1097,-1
24,2021.01.04,05:45,140.978,140.994,140.965,140.99,984,1
25,2021.01.04,06:00,140.991,141.045,140.971,141.039,690,1
26,2021.01.04,06:15,141.039,141.042,140.945,140.949,1022,-1
27,2021.01.04,06:30,140.954,140.964,140.889,140.929,1266,-1
28,2021.01.04,06:45,140.93,140.94,140.897,140.904,943,-1
29,2021.01.04,07:00,140.911,140.954,140.876,140.928,1103,1
30,2021.01.04,07:15,140.928,140.933,140.852,140.874,1498,-1
31,2021.01.04,07:30,140.874,140.929,140.869,140.895,1268,1
32,2021.01.04,07:45,140.896,140.963,140.874,140.944,1446,1
33,2021.01.04,08:00,140.947,141.014,140.908,140.921,1873,-1
34,2021.01.04,08:15,140.922,140.939,140.874,140.889,1339,-1
35,2021.01.04,08:30,140.892,140.961,140.886,140.932,1168,1
36,2021.01.04,08:45,140.932,140.954,140.899,140.941,1398,1
37,2021.01.04,09:00,140.944,141.03,140.944,141.024,1909,1
38,2021.01.04,09:15,141.024,141.066,140.956,140.979,1812,-1
39,2021.01.04,09:30,140.981,141.037,140.888,140.958,2255,-1
40,2021.01.04,09:45,140.963,140.972,140.753,140.86,3138,-1
41,2021.01.04,10:00,140.862,140.924,140.73,140.745,3231,-1
42,2021.01.04,10:15,140.741,140.778,140.621,140.661,3534,-1
43,2021.01.04,10:30,140.661,140.706,140.581,140.694,3423,1
44,2021.01.04,10:45,140.699,140.771,140.642,140.744,2216,1
45,2021.01.04,11:00,140.745,140.788,140.588,140.595,2449,-1
