0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
1,2021.01.04,00:00,1.36417,1.36628,1.36392,1.36522,211,1,0,0,0,0,0
2,2021.01.04,00:30,1.36522,1.36616,1.36504,1.36554,111,1,0,0,0,0,0
3,2021.01.04,01:00,1.36602,1.36694,1.36562,1.36688,1750,1,0,0,0,0,0
4,2021.01.04,01:30,1.36689,1.36835,1.36676,1.36804,1706,1,0,0,0,0,0
5,2021.01.04,02:00,1.36812,1.36833,1.36659,1.36664,3174,0,1,0,1,0,0
6,2021.01.04,02:30,1.36664,1.36779,1.36592,1.36727,2701,1,0,0,1,0,0
7,2021.01.04,03:00,1.36726,1.36832,1.36708,1.36825,3201,1,0,0,1,0,0
8,2021.01.04,03:30,1.36824,1.36899,1.36766,1.36819,3252,0,1,0,1,0,0
9,2021.01.04,04:00,1.3682,1.36904,1.36807,1.36876,3087,1,0,0,1,0,0
10,2021.01.04,04:30,1.36878,1.36948,1.36829,1.36924,2207,1,0,0,1,0,0
11,2021.01.04,05:00,1.36928,1.36954,1.36896,1.36945,1583,1,0,0,1,0,0
12,2021.01.04,05:30,1.36944,1.36965,1.36926,1.36954,1707,1,0,0,1,0,0
13,2021.01.04,06:00,1.36955,1.36982,1.36845,1.36848,1438,0,1,0,1,0,0
14,2021.01.04,06:30,1.3685,1.36862,1.36759,1.36805,1640,0,1,0,1,0,0
15,2021.01.04,07:00,1.36806,1.36829,1.36679,1.36717,1689,0,1,0,1,0,0
16,2021.01.04,07:30,1.3672,1.36859,1.36716,1.36833,1977,1,0,0,1,0,0
17,2021.01.04,08:00,1.36834,1.36864,1.36738,1.36748,2373,0,1,0,1,0,0
18,2021.01.04,08:30,1.36751,1.36859,1.36751,1.36847,2079,1,0,0,1,0,0
19,2021.01.04,09:00,1.36851,1.37029,1.3685,1.36925,2721,1,0,0,1,0,0
20,2021.01.04,09:30,1.36931,1.3703,1.36794,1.36873,3510,0,1,0,1,0,0
21,2021.01.04,10:00,1.36874,1.36958,1.36717,1.36791,5198,0,1,0,1,1,0
22,2021.01.04,10:30,1.36791,1.36927,1.3677,1.36903,4294,1,0,0,1,1,0
23,2021.01.04,11:00,1.36906,1.36963,1.36771,1.36805,3835,0,1,0,0,1,0
24,2021.01.04,11:30,1.36803,1.36821,1.36643,1.36727,3953,0,1,0,0,1,0
25,2021.01.04,12:00,1.36726,1.36852,1.36706,1.36826,3359,1,0,0,0,1,0
26,2021.01.04,12:30,1.36827,1.36965,1.36769,1.36928,3157,1,0,0,0,1,0
27,2021.01.04,13:00,1.36927,1.37037,1.36824,1.36833,3349,0,1,0,0,1,0
28,2021.01.04,13:30,1.36834,1.3684,1.36643,1.36698,3533,0,1,0,0,1,0
29,2021.01.04,14:00,1.36696,1.36703,1.36456,1.36638,4209,0,1,0,0,1,0
30,2021.01.04,14:30,1.36636,1.36705,1.36499,1.3654,3507,0,1,0,0,1,0
31,2021.01.04,15:00,1.36539,1.3657,1.36136,1.36248,4895,0,1,0,0,1,1
