0,date,time,open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
1,2020.01.02,00:00,1.32463,1.32544,1.32458,1.32472,1998,1,0,0,0,0,0
2,2020.01.02,01:00,1.32473,1.32611,1.32472,1.32501,2026,1,0,0,0,0,0
3,2020.01.02,02:00,1.32499,1.32622,1.32469,1.32564,2392,1,0,0,1,0,0
4,2020.01.02,03:00,1.32566,1.32661,1.32535,1.32559,3505,0,1,0,1,0,0
5,2020.01.02,04:00,1.32557,1.32562,1.32438,1.32485,2402,0,1,0,1,0,0
6,2020.01.02,05:00,1.32486,1.32494,1.32029,1.32096,3551,0,1,0,1,0,0
7,2020.01.02,06:00,1.32093,1.32179,1.32034,1.32073,3614,0,1,0,1,0,0
8,2020.01.02,07:00,1.32073,1.32141,1.32022,1.32138,3999,1,0,0,1,0,0
9,2020.01.02,08:00,1.32139,1.3224,1.32064,1.32188,3124,1,0,0,1,0,0
10,2020.01.02,09:00,1.32202,1.32294,1.32096,1.32197,6199,0,1,0,1,0,0
11,2020.01.02,10:00,1.32199,1.32306,1.32092,1.32216,7008,1,0,0,1,1,0
12,2020.01.02,11:00,1.32214,1.32273,1.32098,1.32144,4593,0,1,0,0,1,0
13,2020.01.02,12:00,1.32143,1.32149,1.32051,1.32113,5176,0,1,0,0,1,0
14,2020.01.02,13:00,1.3211,1.32116,1.3189,1.31996,5929,0,1,0,0,1,0
15,2020.01.02,14:00,1.31992,1.32129,1.31907,1.3197,5508,0,1,0,0,1,0
16,2020.01.02,15:00,1.31967,1.31973,1.31714,1.31762,6851,0,1,0,0,1,1
17,2020.01.02,16:00,1.31759,1.31776,1.31354,1.31472,7861,0,1,0,0,1,1
18,2020.01.02,17:00,1.31473,1.31945,1.31455,1.31893,8190,1,0,0,0,1,1
19,2020.01.02,18:00,1.31892,1.31894,1.31234,1.3127,7573,0,1,0,0,1,1
20,2020.01.02,19:00,1.31271,1.31345,1.31152,1.31344,6330,1,0,0,0,0,1
21,2020.01.02,20:00,1.31343,1.31439,1.31251,1.31397,5523,1,0,0,0,0,1
22,2020.01.02,21:00,1.31397,1.31406,1.31281,1.31289,5026,0,1,0,0,0,1
23,2020.01.02,22:00,1.31292,1.31456,1.31288,1.31387,4273,1,0,0,0,0,1
24,2020.01.02,23:00,1.31388,1.31421,1.31295,1.31332,2432,0,1,0,0,0,0
25,2020.01.03,00:00,1.31295,1.31466,1.31295,1.31354,828,1,0,0,0,0,0
26,2020.01.03,01:00,1.31354,1.31482,1.31315,1.31468,2717,1,0,0,0,0,0
27,2020.01.03,02:00,1.31467,1.31572,1.31399,1.31553,2767,1,0,0,1,0,0
28,2020.01.03,03:00,1.31553,1.31601,1.31347,1.3138,4088,0,1,0,1,0,0
29,2020.01.03,04:00,1.31379,1.31437,1.31229,1.31279,5443,0,1,0,1,0,0
30,2020.01.03,05:00,1.31279,1.31379,1.31266,1.31361,6006,1,0,0,1,0,0
31,2020.01.03,06:00,1.31359,1.31373,1.31244,1.31259,3839,0,1,0,1,0,0
32,2020.01.03,07:00,1.31255,1.31291,1.31157,1.31211,3588,0,1,0,1,0,0
33,2020.01.03,08:00,1.31209,1.31238,1.31051,1.31228,3339,1,0,0,1,0,0
34,2020.01.03,09:00,1.31228,1.31235,1.30831,1.30915,7064,0,1,0,1,0,0
35,2020.01.03,10:00,1.30914,1.31178,1.30866,1.30973,7900,1,0,0,1,1,0
36,2020.01.03,11:00,1.30972,1.31006,1.30668,1.30683,9008,0,1,0,0,1,0
37,2020.01.03,12:00,1.30682,1.3088,1.30681,1.30784,6610,1,0,0,0,1,0
38,2020.01.03,13:00,1.30784,1.30788,1.30535,1.30588,5928,0,1,0,0,1,0
39,2020.01.03,14:00,1.30585,1.30823,1.3054,1.30805,6052,1,0,0,0,1,0
40,2020.01.03,15:00,1.30804,1.31095,1.30721,1.30723,5939,0,1,0,0,1,1
41,2020.01.03,16:00,1.30724,1.30898,1.30674,1.30787,6828,1,0,0,0,1,1
42,2020.01.03,17:00,1.30799,1.30944,1.30692,1.30715,7728,0,1,0,0,1,1
43,2020.01.03,18:00,1.30718,1.3099,1.30693,1.30895,5466,1,0,0,0,1,1
44,2020.01.03,19:00,1.30896,1.30939,1.30803,1.30882,4949,0,1,0,0,0,1
45,2020.01.03,20:00,1.30881,1.30901,1.30728,1.30849,5724,0,1,0,0,0,1
46,2020.01.03,21:00,1.30849,1.30853,1.30747,1.30786,5780,0,1,0,0,0,1
47,2020.01.03,22:00,1.30793,1.30793,1.30718,1.30733,2777,0,1,0,0,0,1
48,2020.01.03,23:00,1.30727,1.30774,1.30709,1.30772,2054,1,0,0,0,0,0
49,2020.01.06,00:00,1.30798,1.30861,1.30647,1.30673,583,0,1,0,0,0,0
50,2020.01.06,01:00,1.3066,1.30846,1.30647,1.30774,3572,1,0,0,0,0,0
51,2020.01.06,02:00,1.30773,1.30878,1.30768,1.30794,3523,1,0,0,1,0,0
52,2020.01.06,03:00,1.30793,1.30816,1.30755,1.30789,2469,0,1,0,1,0,0
53,2020.01.06,04:00,1.30789,1.3088,1.30789,1.3087,1255,1,0,0,1,0,0
54,2020.01.06,05:00,1.30869,1.30904,1.30809,1.30816,1811,0,1,0,1,0,0
55,2020.01.06,06:00,1.30815,1.3087,1.30808,1.30839,1364,1,0,0,1,0,0
56,2020.01.06,07:00,1.30846,1.30858,1.30797,1.30807,1466,0,1,0,1,0,0
57,2020.01.06,08:00,1.30807,1.30833,1.30685,1.30829,4432,1,0,0,1,0,0
58,2020.01.06,09:00,1.30829,1.30946,1.30699,1.3074,6594,0,1,0,1,0,0
59,2020.01.06,10:00,1.30739,1.31085,1.30641,1.31058,7529,1,0,0,1,1,0
60,2020.01.06,11:00,1.31054,1.31485,1.3103,1.31451,9268,1,0,0,0,1,0
61,2020.01.06,12:00,1.31451,1.31734,1.31379,1.31533,8219,1,0,0,0,1,0
62,2020.01.06,13:00,1.31532,1.31745,1.31509,1.31567,6019,1,0,0,0,1,0
63,2020.01.06,14:00,1.31566,1.31569,1.31376,1.31376,6286,0,1,0,0,1,0
64,2020.01.06,15:00,1.31375,1.3149,1.31346,1.31402,5162,1,0,0,0,1,1
65,2020.01.06,16:00,1.31403,1.31611,1.31332,1.31363,5718,0,1,0,0,1,1
66,2020.01.06,17:00,1.31362,1.31625,1.31337,1.31587,6199,1,0,0,0,1,1
67,2020.01.06,18:00,1.31586,1.31697,1.31518,1.31624,4494,1,0,0,0,1,1
68,2020.01.06,19:00,1.31624,1.31747,1.31563,1.31595,3849,0,1,0,0,0,1
69,2020.01.06,20:00,1.31599,1.31679,1.31577,1.31578,3173,0,1,0,0,0,1
70,2020.01.06,21:00,1.31577,1.31642,1.31554,1.31632,2981,1,0,0,0,0,1
71,2020.01.06,22:00,1.31628,1.31674,1.3159,1.31661,2626,1,0,0,0,0,1
72,2020.01.06,23:00,1.3166,1.31685,1.31639,1.31658,2022,0,1,0,0,0,0
73,2020.01.07,00:00,1.31666,1.31787,1.31666,1.31758,865,1,0,0,0,0,0
74,2020.01.07,01:00,1.31759,1.31759,1.31682,1.31709,3256,0,1,0,0,0,0
75,2020.01.07,02:00,1.31709,1.31767,1.31694,1.31728,2186,1,0,0,1,0,0
76,2020.01.07,03:00,1.31728,1.31773,1.31698,1.31717,2046,0,1,0,1,0,0
77,2020.01.07,04:00,1.31717,1.31726,1.31688,1.31694,1874,0,1,0,1,0,0
78,2020.01.07,05:00,1.31694,1.31754,1.31687,1.31735,1784,1,0,0,1,0,0
79,2020.01.07,06:00,1.31734,1.31754,1.31693,1.31708,3064,0,1,0,1,0,0
80,2020.01.07,07:00,1.31708,1.31726,1.31532,1.31546,1685,0,1,0,1,0,0
81,2020.01.07,08:00,1.31547,1.31627,1.31477,1.3155,3914,1,0,0,1,0,0
82,2020.01.07,09:00,1.3155,1.31615,1.31412,1.31442,5747,0,1,0,1,0,0
83,2020.01.07,10:00,1.31449,1.32123,1.31428,1.31876,9413,1,0,0,1,1,0
84,2020.01.07,11:00,1.31877,1.31973,1.31676,1.31727,6816,0,1,0,0,1,0
85,2020.01.07,12:00,1.31727,1.31736,1.31453,1.31604,7639,0,1,0,0,1,0
86,2020.01.07,13:00,1.31604,1.31644,1.31453,1.3147,5643,0,1,0,0,1,0
87,2020.01.07,14:00,1.3147,1.31477,1.311,1.31205,7934,0,1,0,0,1,0
88,2020.01.07,15:00,1.31205,1.31235,1.31024,1.31179,7466,0,1,0,0,1,1
89,2020.01.07,16:00,1.3118,1.31358,1.31042,1.31042,7024,0,1,0,0,1,1
90,2020.01.07,17:00,1.31048,1.31243,1.30951,1.31213,7199,1,0,0,0,1,1
91,2020.01.07,18:00,1.31212,1.31326,1.31063,1.31257,4881,1,0,0,0,1,1
92,2020.01.07,19:00,1.31257,1.31395,1.31223,1.31274,4491,1,0,0,0,0,1
93,2020.01.07,20:00,1.31274,1.31373,1.3125,1.31252,3768,0,1,0,0,0,1
94,2020.01.07,21:00,1.31253,1.3127,1.31185,1.31204,4893,0,1,0,0,0,1
95,2020.01.07,22:00,1.31204,1.31236,1.31164,1.31184,2906,0,1,0,0,0,1
96,2020.01.07,23:00,1.31183,1.31214,1.31136,1.31186,2708,1,0,0,0,0,0
97,2020.01.08,00:00,1.31195,1.31259,1.31043,1.31127,1639,0,1,0,0,0,0
98,2020.01.08,01:00,1.31137,1.31194,1.31048,1.31137,2581,0,0,1,0,0,0
99,2020.01.08,02:00,1.31136,1.31194,1.31065,1.31116,5359,0,1,0,1,0,0
100,2020.01.08,03:00,1.31116,1.31208,1.31108,1.31168,4361,1,0,0,1,0,0
101,2020.01.08,04:00,1.31173,1.314,1.31173,1.3133,4405,1,0,0,1,0,0
102,2020.01.08,05:00,1.3133,1.31391,1.31237,1.31306,3257,0,1,0,1,0,0
103,2020.01.08,06:00,1.31307,1.31346,1.31182,1.31208,2647,0,1,0,1,0,0
104,2020.01.08,07:00,1.31209,1.31244,1.31161,1.31175,2777,0,1,0,1,0,0
105,2020.01.08,08:00,1.31174,1.31338,1.31174,1.31293,3039,1,0,0,1,0,0
106,2020.01.08,09:00,1.31302,1.31625,1.31266,1.31525,6891,1,0,0,1,0,0
107,2020.01.08,10:00,1.31528,1.31695,1.31391,1.31662,9354,1,0,0,1,1,0
108,2020.01.08,11:00,1.31663,1.31693,1.31103,1.31199,7360,0,1,0,0,1,0
109,2020.01.08,12:00,1.31193,1.31361,1.30915,1.31199,8609,1,0,0,0,1,0
110,2020.01.08,13:00,1.31198,1.31243,1.30987,1.31085,6838,0,1,0,0,1,0
111,2020.01.08,14:00,1.31085,1.31197,1.30801,1.30924,7488,0,1,0,0,1,0
112,2020.01.08,15:00,1.30924,1.3125,1.30857,1.31217,7456,1,0,0,0,1,1
113,2020.01.08,16:00,1.31218,1.31389,1.31194,1.31251,6447,1,0,0,0,1,1
114,2020.01.08,17:00,1.31252,1.31336,1.30873,1.30999,6661,0,1,0,0,1,1
115,2020.01.08,18:00,1.30998,1.3109,1.30829,1.31089,8496,1,0,0,0,1,1
116,2020.01.08,19:00,1.31091,1.31171,1.31011,1.31051,6302,0,1,0,0,0,1
117,2020.01.08,20:00,1.31051,1.31064,1.30964,1.31031,3829,0,1,0,0,0,1
118,2020.01.08,21:00,1.3103,1.31031,1.30977,1.31009,3905,0,1,0,0,0,1
119,2020.01.08,22:00,1.31009,1.31034,1.30973,1.30988,3158,0,1,0,0,0,1
120,2020.01.08,23:00,1.30992,1.30994,1.30917,1.30917,2611,0,1,0,0,0,0
121,2020.01.09,00:00,1.30923,1.3102,1.30916,1.31017,692,1,0,0,0,0,0
122,2020.01.09,01:00,1.31017,1.31056,1.30965,1.31052,1633,1,0,0,0,0,0
123,2020.01.09,02:00,1.31051,1.3112,1.31029,1.31095,2660,1,0,0,1,0,0
124,2020.01.09,03:00,1.31094,1.31141,1.31041,1.3112,2558,1,0,0,1,0,0
125,2020.01.09,04:00,1.3112,1.31124,1.3104,1.31088,1574,0,1,0,1,0,0
126,2020.01.09,05:00,1.31088,1.31112,1.31056,1.31056,1355,0,1,0,1,0,0
127,2020.01.09,06:00,1.31056,1.31091,1.31046,1.31089,1327,1,0,0,1,0,0
128,2020.01.09,07:00,1.3109,1.3119,1.31088,1.31165,1945,1,0,0,1,0,0
129,2020.01.09,08:00,1.31164,1.31236,1.31077,1.31105,2366,0,1,0,1,0,0
130,2020.01.09,09:00,1.31109,1.31186,1.31012,1.3113,5191,1,0,0,1,0,0
131,2020.01.09,10:00,1.3113,1.3113,1.30846,1.30868,7284,0,1,0,1,1,0
132,2020.01.09,11:00,1.30868,1.30916,1.30173,1.30272,11804,0,1,0,0,1,0
133,2020.01.09,12:00,1.30271,1.30435,1.30193,1.30427,8359,1,0,0,0,1,0
134,2020.01.09,13:00,1.30427,1.30514,1.30135,1.30196,7747,0,1,0,0,1,0
135,2020.01.09,14:00,1.30195,1.3041,1.30128,1.30378,8038,1,0,0,0,1,0
136,2020.01.09,15:00,1.30378,1.30691,1.30221,1.30524,8181,1,0,0,0,1,1
137,2020.01.09,16:00,1.30524,1.30583,1.30369,1.30493,7266,0,1,0,0,1,1
138,2020.01.09,17:00,1.30492,1.3054,1.30333,1.30483,5916,0,1,0,0,1,1
139,2020.01.09,18:00,1.30482,1.30692,1.30434,1.30684,5756,1,0,0,0,1,1
140,2020.01.09,19:00,1.30683,1.30688,1.30606,1.30612,3536,0,1,0,0,0,1
141,2020.01.09,20:00,1.30613,1.3064,1.3055,1.30553,5455,0,1,0,0,0,1
142,2020.01.09,21:00,1.30553,1.30593,1.3054,1.30568,3051,1,0,0,0,0,1
143,2020.01.09,22:00,1.30569,1.30673,1.30569,1.30663,2851,1,0,0,0,0,1
144,2020.01.09,23:00,1.30665,1.30679,1.30626,1.30659,1198,0,1,0,0,0,0
145,2020.01.10,00:00,1.30659,1.30681,1.30636,1.30676,590,1,0,0,0,0,0
146,2020.01.10,01:00,1.30678,1.30712,1.30667,1.30694,1886,1,0,0,0,0,0
147,2020.01.10,02:00,1.30694,1.30723,1.30658,1.30679,1895,0,1,0,1,0,0
148,2020.01.10,03:00,1.30679,1.30694,1.30598,1.30633,2310,0,1,0,1,0,0
149,2020.01.10,04:00,1.30635,1.30667,1.30603,1.30656,1582,1,0,0,1,0,0
150,2020.01.10,05:00,1.30657,1.30687,1.30651,1.30684,1270,1,0,0,1,0,0
151,2020.01.10,06:00,1.30684,1.30818,1.30664,1.30764,2073,1,0,0,1,0,0
152,2020.01.10,07:00,1.30764,1.30836,1.30727,1.30824,1832,1,0,0,1,0,0
153,2020.01.10,08:00,1.30824,1.30915,1.30802,1.30843,2252,1,0,0,1,0,0
154,2020.01.10,09:00,1.30844,1.30869,1.30553,1.30596,4009,0,1,0,1,0,0
155,2020.01.10,10:00,1.30596,1.30715,1.30482,1.30666,6537,1,0,0,1,1,0
156,2020.01.10,11:00,1.30667,1.30884,1.30508,1.30688,7529,1,0,0,0,1,0
157,2020.01.10,12:00,1.30688,1.30724,1.30504,1.30561,6084,0,1,0,0,1,0
158,2020.01.10,13:00,1.3056,1.30804,1.3054,1.30732,5313,1,0,0,0,1,0
159,2020.01.10,14:00,1.30732,1.30883,1.30717,1.3084,5086,1,0,0,0,1,0
160,2020.01.10,15:00,1.30841,1.30971,1.30636,1.30694,8328,0,1,0,0,1,1
161,2020.01.10,16:00,1.30693,1.30732,1.30555,1.30653,7699,0,1,0,0,1,1
162,2020.01.10,17:00,1.30654,1.30779,1.30569,1.30612,6935,0,1,0,0,1,1
163,2020.01.10,18:00,1.30612,1.30622,1.30424,1.30591,6063,0,1,0,0,1,1
164,2020.01.10,19:00,1.30588,1.30696,1.30518,1.30616,4487,1,0,0,0,0,1
165,2020.01.10,20:00,1.30618,1.30636,1.30543,1.30551,2811,0,1,0,0,0,1
166,2020.01.10,21:00,1.30551,1.30631,1.30535,1.30619,3293,1,0,0,0,0,1
167,2020.01.10,22:00,1.30618,1.30623,1.30535,1.30553,3081,0,1,0,0,0,1
168,2020.01.10,23:00,1.30554,1.30642,1.30536,1.30544,2111,0,1,0,0,0,0
169,2020.01.13,00:00,1.30347,1.3042,1.30334,1.30347,1066,0,0,1,0,0,0
170,2020.01.13,01:00,1.30348,1.30443,1.30339,1.30436,1396,1,0,0,0,0,0
171,2020.01.13,02:00,1.3043,1.3045,1.30359,1.30369,1404,0,1,0,1,0,0
172,2020.01.13,03:00,1.30369,1.30392,1.30321,1.3039,1731,1,0,0,1,0,0
173,2020.01.13,04:00,1.30392,1.30392,1.3033,1.30337,1464,0,1,0,1,0,0
174,2020.01.13,05:00,1.30332,1.30397,1.30312,1.30388,1715,1,0,0,1,0,0
175,2020.01.13,06:00,1.30387,1.30414,1.3036,1.3036,1419,0,1,0,1,0,0
176,2020.01.13,07:00,1.3036,1.30362,1.30253,1.30326,1647,0,1,0,1,0,0
177,2020.01.13,08:00,1.30328,1.30328,1.30219,1.30272,2090,0,1,0,1,0,0
